Disgust
repugnance
repulsion
revulsion
horror
nausea
disgust
disgusting
disgustful
distasteful
foul
loathly
loathsome
repellent
repellant
revolting
wicked
yucky
disgusted
fed up
sick
sick of
tired of
nauseating
nauseous
noisome
offensive
sickening
vile
nauseated
queasy
sickish
hideous
repulsive
abhorrent
detestable
obscene
repugnant
revolt
nauseate
sicken
churn up
turn off
repel
repulse
disgustedly
disgustingly
distastefully
revoltingly
sickeningly
detestably
repulsively
abominably
odiously
